a   HTMLAnchorElement
abbr    HTMLElement
acronym     HTMLElement
address    HTMLEleent
applet    HTMLAppletElement
area   HTMLAreaElement
b    HTMLElement
base    HTMLBaseElement
basefont    HTMLBaseFontElement
bdo    HTMLElement
big    HTMLElement
blockquote    HTMLQuoteElement
body    HTMLBodyElement
br    HTMLBRElement
button    HTMLButtonElement
caption    HTMLTableCaptionElement
center    HTMLElement
cite    HTMLElement
code    HTLElement
col    HTMLTableColElement
colgroup    HTMLTableColElement
dd    HTMLElement
del    HTMLModElement
dfn    HTMLElement
dir    HTMLDirectroyElement
div    HTMLDivElement
dl    HTMLDListElement
dt    HTMLElement
em    HTMLElement
fieldset    HTMLFieldSetElement
font    HTMLFontElement
form    HTMLFormElement
frame    HTMLFrameElement
frameset    HTMLFrameSetElement
h1    HTMLHeadingElement
h2    HTMLHeadingElement
h3    HTMLHeadingElement
h4    HTMLHeadingElement
h5    HTMLHeadingElement
h6    HTMLHeadingElement
head    HTMLHeadElement
hr    HTMLHRElement
html    HTMLHtmlElement
i   HTMLElement
iframe    HTMLIFrameElement
img    HTMLImageElement
input    HTMLInputElement
ins    HTMLModElement
isindex    HTMLIsIndexElement
kbd    HTMLElement
label    HTMLLabelElement
legend    HTMLLegendElement
li    HTMLLIElement
link    HTMLLinkElement
map    HTMLMapElement
menu    HTMLMenuElement
meta    HTMLMetaElement
noframes    HTMLElement
noscript    HTMLElement
object     HTMLObjectElement
ol    HTMLOListElement
optgroup    HTMLOptGroupElement
option    HTMLOptionElement
p    HTMLParagraphElement
param    HTMLParamElement
pre    HTMLPreElement
q    HTMLQuoteElement
s    HTMLElement
samp    HTMLElement
script    HTMLScriptElement
select    HTMLSelectElement
small    HTAMLElement
span    HTMLElement
strike    HTMLElement
strong    HTMLElement
style    HTMLStyleElement
sub    HTMLElement
sup    HTMLElement
table     HTMLTableElement
tbody    HTMLTableSectionElement
td    HTMLTableCellElement
textarea    HTMLTextAreaElement
tfoot    HTMLTabelSectionElement
th   HTMLTableCellElement
thead    HTMLTableSectionElement
title    HTMLTitleElement
tr   HTMLTableRowElement
tt   HTMLElement
u    HTMLElement
ul    HTMLUListElement
var    HTMLElement 
